"id","armA","armB","responded","female","age","agegrp","edu","town","camp"
50,0,1,0,1,44,"30-44","higher","town","gov"
51,1,0,0,0,54,"45-59","higher","city","opp"
52,1,0,0,0,27,"18-29","higher","rural","gov"
53,1,0,0,1,46,"45-59","secondary","town","gov"
54,0,1,0,0,74,"60+","basic","rural","none"
55,1,0,0,0,34,"30-44","secondary","town","opp"
56,1,0,0,1,29,"18-29","secondary","rural","opp"
57,0,1,0,0,54,"45-59","higher","town","gov"
58,0,1,0,1,43,"30-44","basic","city","opp"
59,1,0,1,0,67,"60+","secondary","town","none"
60,0,1,0,1,67,"60+","secondary","rural","gov"
61,0,1,0,0,65,"60+","secondary","town","none"
62,0,1,0,0,27,"18-29","secondary","city","none"
63,1,0,0,1,72,"60+","secondary","city","none"
64,0,1,0,1,32,"30-44","secondary","rural","none"
65,0,1,0,0,40,"30-44","secondary","rural","none"
66,0,1,0,1,57,"45-59","secondary","rural","gov"
67,0,1,0,1,73,"60+","higher","rural","gov"
68,0,1,0,0,30,"30-44","secondary","city","opp"
69,0,1,0,1,48,"45-59","higher","rural","gov"
70,1,0,0,1,59,"45-59","secondary","town","none"
71,1,0,0,0,27,"18-29","secondary","town","gov"
72,1,0,1,0,75,"60+","basic","rural","opp"
73,1,0,0,1,40,"30-44","secondary","rural","opp"
74,1,0,0,1,58,"45-59","secondary","city","none"
75,1,0,0,1,65,"60+","secondary","town","none"
76,1,0,0,0,71,"60+","secondary","town","none"
77,0,1,0,1,63,"60+","secondary","city","opp"
78,0,1,0,0,70,"60+","higher","city","opp"
79,1,0,0,1,63,"60+","secondary","town","opp"
80,0,1,0,0,48,"45-59","secondary","town","opp"
81,1,0,0,1,43,"30-44","higher","rural","none"
82,0,1,0,0,79,"60+","secondary","city","opp"
83,1,0,0,0,42,"30-44","secondary","town","gov"
84,1,0,1,0,32,"30-44","secondary","town","gov"
85,0,1,0,0,50,"45-59","secondary","city","opp"
86,1,0,0,0,44,"30-44","secondary","town","gov"
87,0,1,0,0,43,"30-44","basic","town","gov"
88,1,0,0,1,52,"45-59","secondary","city","gov"
89,0,1,0,1,45,"45-59","secondary","rural","none"
90,0,1,0,1,41,"30-44","secondary","rural","opp"
91,0,1,0,0,42,"30-44","secondary","town","none"
92,0,1,0,1,39,"30-44","secondary","rural","none"
93,0,1,0,0,80,"60+","basic","town","none"
94,1,0,0,0,41,"30-44","higher","town","gov"
95,0,1,0,0,29,"18-29","secondary","city","none"
96,0,1,0,1,58,"45-59","secondary","city","opp"
97,0,1,0,1,45,"45-59","higher","rural","none"
98,1,0,0,1,27,"18-29","secondary","rural","opp"
99,1,0,1,0,50,"45-59","higher","rural","opp"
100,0,1,0,0,63,"60+","secondary","town","gov"
101,0,1,0,0,56,"45-59","basic","rural","none"
102,1,0,0,1,44,"30-44","higher","rural","gov"
103,1,0,0,0,49,"45-59","higher","city","none"
104,0,1,0,1,53,"45-59","basic","rural","none"
105,1,0,1,1,35,"30-44","secondary","city","gov"
106,0,1,0,0,65,"60+","secondary","town","gov"
107,1,0,0,1,43,"30-44","secondary","town","none"
108,1,0,1,0,44,"30-44","higher","town","gov"
109,0,1,0,0,31,"30-44","higher","town","none"
110,1,0,0,1,71,"60+","secondary","town","none"
111,1,0,0,0,59,"45-59","secondary","rural","opp"
112,1,0,0,0,41,"30-44","secondary","city","gov"
113,0,1,0,0,48,"45-59","secondary","rural","none"
114,0,1,0,0,58,"45-59","higher","town","opp"
115,1,0,0,1,25,"18-29","secondary","town","opp"
116,1,0,0,0,50,"45-59","secondary","rural","none"
117,1,0,0,0,58,"45-59","secondary","town","opp"
118,1,0,0,1,38,"30-44","secondary","town","none"
119,1,0,0,0,36,"30-44","secondary","city","none"
120,0,1,0,0,56,"45-59","secondary","rural","none"
121,1,0,0,1,51,"45-59","secondary","rural","opp"
122,1,0,0,1,66,"60+","basic","rural","opp"
123,1,0,0,0,71,"60+","secondary","rural","none"
124,1,0,0,0,45,"45-59","secondary","city","none"
125,0,1,0,0,80,"60+","secondary","city","none"
126,0,1,0,1,39,"30-44","higher","town","none"
127,1,0,1,1,47,"45-59","secondary","rural","opp"
128,1,0,0,1,36,"30-44","secondary","city","gov"
129,0,1,1,0,43,"30-44","secondary","city","gov"
130,0,1,0,0,64,"60+","higher","town","opp"
131,0,1,0,0,23,"18-29","higher","rural","none"
132,0,1,0,1,60,"60+","secondary","town","opp"
133,1,0,0,1,57,"45-59","higher","rural","gov"
134,1,0,0,0,52,"45-59","secondary","city","opp"
135,1,0,0,0,77,"60+","basic","city","gov"
136,0,1,0,1,36,"30-44","higher","city","opp"
137,0,1,0,0,49,"45-59","higher","town","gov"
138,1,0,0,0,58,"45-59","secondary","rural","none"
139,0,1,0,0,52,"45-59","secondary","town","gov"
140,1,0,0,1,30,"30-44","higher","rural","opp"
141,0,1,0,0,38,"30-44","secondary","city","gov"
142,1,0,0,1,42,"30-44","higher","rural","none"
143,0,1,0,0,24,"18-29","secondary","town","gov"
144,0,1,0,0,37,"30-44","higher","town","opp"
145,0,1,0,1,30,"30-44","secondary","city","none"
146,1,0,1,1,30,"30-44","secondary","town","gov"
147,1,0,0,1,39,"30-44","basic","town","gov"
148,0,1,0,1,47,"45-59","secondary","rural","none"
149,1,0,1,1,32,"30-44","higher","town","gov"
150,1,0,0,1,72,"60+","secondary","rural","opp"
151,1,0,0,1,49,"45-59","secondary","city","none"
152,0,1,0,1,54,"45-59","higher","city","gov"
153,0,1,0,1,81,"60+","basic","town","opp"
154,1,0,1,0,43,"30-44","secondary","town","gov"
155,0,1,0,1,52,"45-59","higher","city","gov"
156,1,0,0,1,47,"45-59","higher","city","opp"
157,1,0,0,1,39,"30-44","secondary","rural","opp"
158,1,0,0,1,22,"18-29","secondary","city","none"
159,1,0,0,0,73,"60+","secondary","city","none"
160,1,0,1,0,31,"30-44","higher","town","opp"
161,0,1,0,0,34,"30-44","secondary","city","none"
162,0,1,0,1,80,"60+","secondary","town","none"
163,0,1,0,0,62,"60+","secondary","town","none"
164,0,1,0,1,57,"45-59","basic","rural","gov"
165,0,1,0,1,58,"45-59","secondary","rural","none"
166,1,0,0,0,28,"18-29","higher","rural","none"
167,1,0,0,1,59,"45-59","secondary","town","none"
168,0,1,0,0,63,"60+","higher","town","none"
169,1,0,0,1,62,"60+","secondary","rural","opp"
170,1,0,0,1,46,"45-59","secondary","town","gov"
171,1,0,0,0,40,"30-44","higher","rural","none"
172,0,1,0,0,25,"18-29","secondary","city","opp"
173,1,0,0,0,49,"45-59","secondary","rural","none"
174,1,0,0,1,28,"18-29","secondary","city","gov"
175,1,0,0,0,54,"45-59","secondary","town","gov"
176,0,1,0,0,63,"60+","basic","rural","gov"
177,1,0,0,0,54,"45-59","secondary","city","none"
178,0,1,0,1,60,"60+","secondary","town","gov"
179,1,0,0,1,46,"45-59","basic","rural","none"
180,0,1,0,0,64,"60+","secondary","rural","none"
181,1,0,0,0,50,"45-59","higher","rural","gov"
182,0,1,0,1,48,"45-59","secondary","town","none"
183,1,0,0,0,44,"30-44","secondary","town","none"
184,1,0,0,0,65,"60+","secondary","city","opp"
185,0,1,0,0,75,"60+","secondary","town","none"
186,0,1,0,0,48,"45-59","secondary","rural","gov"
187,1,0,1,1,31,"30-44","higher","city","opp"
188,1,0,0,1,50,"45-59","secondary","town","gov"
189,0,1,0,1,43,"30-44","secondary","rural","none"
190,1,0,1,0,38,"30-44","secondary","city","gov"
191,1,0,0,0,47,"45-59","secondary","city","gov"
192,0,1,0,1,64,"60+","secondary","rural","gov"
193,1,0,0,1,71,"60+","basic","town","none"
194,1,0,0,0,52,"45-59","higher","city","none"
195,0,1,0,0,65,"60+","higher","rural","opp"
196,0,1,0,0,55,"45-59","secondary","rural","opp"
197,0,1,0,1,66,"60+","secondary","rural","opp"
198,0,1,0,1,66,"60+","secondary","town","none"
199,1,0,0,0,64,"60+","secondary","city","gov"
200,1,0,0,1,38,"30-44","secondary","rural","none"
201,0,1,0,0,67,"60+","basic","town","opp"
202,1,0,0,0,35,"30-44","higher","city","gov"
203,0,1,0,1,34,"30-44","higher","town","gov"
204,1,0,0,0,42,"30-44","secondary","city","gov"
205,0,1,0,0,80,"60+","secondary","town","none"
206,1,0,0,1,59,"45-59","basic","rural","none"
207,0,1,0,1,53,"45-59","higher","town","none"
208,0,1,0,0,67,"60+","secondary","town","opp"
209,1,0,0,0,50,"45-59","basic","city","gov"
210,1,0,0,0,23,"18-29","higher","city","opp"
211,1,0,0,0,64,"60+","basic","town","opp"
212,1,0,1,1,63,"60+","secondary","rural","gov"
213,1,0,1,1,52,"45-59","higher","town","gov"
214,1,0,1,1,51,"45-59","secondary","city","gov"
215,1,0,0,0,77,"60+","secondary","city","none"
216,1,0,0,0,79,"60+","basic","town","none"
217,0,1,0,1,66,"60+","higher","rural","gov"
218,1,0,0,1,62,"60+","secondary","town","none"
219,1,0,0,1,42,"30-44","higher","city","opp"
220,0,1,0,1,45,"45-59","secondary","city","opp"
221,0,1,0,1,42,"30-44","basic","rural","gov"
222,1,0,0,1,39,"30-44","secondary","city","gov"
223,0,1,0,0,64,"60+","secondary","town","opp"
224,0,1,0,1,61,"60+","secondary","town","none"
225,1,0,0,1,69,"60+","secondary","rural","gov"
226,0,1,0,1,51,"45-59","secondary","city","none"
227,1,0,0,0,63,"60+","basic","city","none"
228,1,0,0,0,74,"60+","basic","town","opp"
229,1,0,0,0,59,"45-59","higher","town","none"
230,1,0,0,1,23,"18-29","secondary","city","gov"
231,0,1,0,0,43,"30-44","secondary","rural","none"
232,1,0,1,1,67,"60+","secondary","town","gov"
233,0,1,0,1,57,"45-59","higher","rural","none"
234,0,1,0,0,24,"18-29","higher","town","none"
235,1,0,1,0,62,"60+","secondary","rural","opp"
236,1,0,0,1,25,"18-29","secondary","rural","gov"
237,0,1,0,1,41,"30-44","secondary","town","opp"
238,0,1,0,0,36,"30-44","secondary","town","none"
239,0,1,1,0,29,"18-29","higher","rural","gov"
240,1,0,0,0,53,"45-59","secondary","city","opp"
241,0,1,0,0,35,"30-44","higher","city","none"
242,1,0,0,0,38,"30-44","secondary","city","opp"
243,1,0,0,0,44,"30-44","higher","city","none"
244,1,0,0,0,52,"45-59","secondary","rural","none"
245,0,1,0,0,51,"45-59","higher","town","none"
246,1,0,0,0,27,"18-29","secondary","town","gov"
247,1,0,1,0,72,"60+","basic","city","gov"
248,0,1,0,0,28,"18-29","secondary","town","none"
249,1,0,1,0,76,"60+","basic","town","gov"
250,1,0,0,0,48,"45-59","higher","rural","opp"
251,0,1,0,1,47,"45-59","basic","city","gov"
252,1,0,0,0,43,"30-44","higher","town","gov"
253,0,1,0,0,40,"30-44","secondary","town","none"
254,1,0,1,0,19,"18-29","secondary","city","gov"
255,0,1,0,1,24,"18-29","higher","town","opp"
256,0,1,0,0,50,"45-59","secondary","city","opp"
257,0,1,0,1,53,"45-59","higher","town","none"
258,0,1,0,0,59,"45-59","secondary","city","none"
259,1,0,0,1,60,"60+","higher","town","none"
260,0,1,0,0,43,"30-44","secondary","rural","opp"
261,1,0,0,0,68,"60+","basic","city","none"
262,1,0,0,1,58,"45-59","secondary","town","none"
263,1,0,1,0,41,"30-44","basic","city","opp"
264,0,1,0,1,42,"30-44","basic","town","gov"
265,1,0,1,0,23,"18-29","higher","town","gov"
266,0,1,0,0,71,"60+","basic","town","opp"
267,0,1,0,0,50,"45-59","basic","rural","opp"
268,1,0,0,0,69,"60+","secondary","town","none"
269,0,1,0,1,33,"30-44","secondary","town","gov"
270,1,0,0,0,31,"30-44","secondary","town","none"
271,1,0,0,1,31,"30-44","secondary","rural","opp"
272,1,0,0,0,32,"30-44","higher","city","gov"
273,1,0,0,0,37,"30-44","higher","town","none"
274,0,1,0,1,45,"45-59","secondary","rural","gov"
275,1,0,0,0,64,"60+","basic","town","gov"
276,0,1,0,0,53,"45-59","secondary","rural","gov"
277,0,1,0,0,27,"18-29","higher","rural","gov"
278,0,1,0,0,48,"45-59","higher","town","none"
279,1,0,0,1,27,"18-29","secondary","rural","opp"
280,1,0,0,0,65,"60+","basic","city","none"
281,0,1,1,0,66,"60+","secondary","city","none"
282,1,0,0,0,27,"18-29","secondary","city","opp"
283,1,0,0,1,78,"60+","secondary","rural","gov"
284,1,0,0,1,51,"45-59","basic","town","none"
285,0,1,1,1,35,"30-44","higher","rural","gov"
286,1,0,0,0,24,"18-29","higher","rural","none"
287,1,0,0,1,59,"45-59","basic","town","opp"
288,0,1,0,0,47,"45-59","secondary","town","none"
289,1,0,0,1,44,"30-44","higher","town","gov"
290,1,0,0,1,53,"45-59","higher","town","gov"
291,1,0,0,1,47,"45-59","secondary","rural","gov"
292,0,1,0,0,70,"60+","basic","city","opp"
293,0,1,0,0,63,"60+","higher","town","none"
294,0,1,0,0,70,"60+","higher","rural","none"
295,1,0,0,0,45,"45-59","secondary","city","opp"
296,1,0,0,1,58,"45-59","secondary","town","opp"
297,1,0,0,0,44,"30-44","secondary","town","gov"
298,1,0,0,0,53,"45-59","secondary","rural","gov"
299,0,1,0,0,44,"30-44","basic","city","gov"
300,1,0,0,0,28,"18-29","higher","rural","gov"
301,0,1,0,0,42,"30-44","secondary","rural","none"
302,0,1,0,1,77,"60+","secondary","rural","none"
303,0,1,0,1,51,"45-59","secondary","rural","none"
304,1,0,1,0,82,"60+","secondary","rural","none"
305,1,0,0,0,58,"45-59","secondary","city","none"
306,0,1,0,0,72,"60+","higher","town","none"
307,1,0,0,0,62,"60+","secondary","town","none"
308,0,1,0,1,43,"30-44","higher","town","opp"
309,1,0,1,0,60,"60+","higher","rural","gov"
310,0,1,0,1,42,"30-44","higher","city","opp"
311,1,0,0,1,71,"60+","higher","town","gov"
312,1,0,0,0,46,"45-59","secondary","rural","none"
313,0,1,0,1,71,"60+","higher","city","opp"
314,0,1,0,0,61,"60+","secondary","city","none"
315,0,1,0,1,42,"30-44","higher","city","gov"
316,1,0,1,1,40,"30-44","higher","city","none"
317,0,1,0,1,73,"60+","higher","rural","none"
318,0,1,0,1,72,"60+","higher","rural","none"
319,1,0,0,1,48,"45-59","basic","rural","gov"
320,0,1,0,1,25,"18-29","higher","town","none"
321,0,1,0,0,30,"30-44","higher","town","none"
322,0,1,0,1,45,"45-59","secondary","town","gov"
323,1,0,0,0,77,"60+","secondary","town","gov"
324,1,0,0,1,73,"60+","secondary","city","none"
325,0,1,0,1,77,"60+","secondary","rural","none"
326,0,1,0,1,70,"60+","secondary","rural","opp"
327,1,0,0,0,45,"45-59","secondary","town","gov"
328,0,1,0,0,71,"60+","secondary","rural","opp"
329,1,0,0,0,50,"45-59","higher","city","gov"
330,0,1,0,1,33,"30-44","secondary","rural","none"
331,1,0,0,1,73,"60+","secondary","town","gov"
332,0,1,0,1,40,"30-44","higher","town","none"
333,1,0,0,1,69,"60+","higher","town","gov"
334,1,0,1,1,45,"45-59","secondary","town","none"
335,1,0,0,1,71,"60+","basic","town","gov"
336,1,0,1,1,33,"30-44","secondary","town","gov"
337,0,1,0,1,39,"30-44","higher","town","none"
338,1,0,1,1,57,"45-59","secondary","rural","none"
339,0,1,0,1,24,"18-29","higher","rural","none"
340,1,0,0,1,35,"30-44","secondary","city","opp"
341,0,1,0,0,61,"60+","higher","town","none"
342,0,1,0,1,38,"30-44","higher","town","gov"
343,1,0,0,0,54,"45-59","higher","town","opp"
344,1,0,0,0,39,"30-44","secondary","city","opp"
345,1,0,1,0,38,"30-44","secondary","town","gov"
346,1,0,0,0,30,"30-44","secondary","town","gov"
347,0,1,0,1,75,"60+","basic","town","none"
348,0,1,0,0,77,"60+","secondary","rural","gov"
349,0,1,0,1,19,"18-29","secondary","rural","opp"
350,1,0,0,0,37,"30-44","secondary","city","opp"
351,0,1,0,1,39,"30-44","secondary","rural","opp"
352,0,1,0,0,61,"60+","higher","town","gov"
353,1,0,1,0,56,"45-59","higher","town","gov"
354,1,0,0,0,38,"30-44","secondary","rural","gov"
355,1,0,1,0,35,"30-44","secondary","town","opp"
356,1,0,0,1,56,"45-59","secondary","town","none"
357,1,0,0,0,49,"45-59","basic","rural","none"
358,0,1,0,1,65,"60+","secondary","rural","opp"
359,0,1,0,0,65,"60+","secondary","city","none"
360,1,0,0,0,54,"45-59","secondary","rural","none"
361,0,1,0,0,39,"30-44","higher","town","gov"
362,1,0,0,0,46,"45-59","basic","town","opp"
363,0,1,0,0,63,"60+","secondary","city","opp"
364,0,1,0,1,41,"30-44","secondary","rural","gov"
365,0,1,0,0,41,"30-44","secondary","rural","gov"
366,0,1,0,0,30,"30-44","higher","town","none"
367,1,0,0,1,23,"18-29","higher","rural","none"
368,0,1,0,1,32,"30-44","secondary","town","none"
369,1,0,0,1,57,"45-59","secondary","rural","opp"
370,1,0,0,1,47,"45-59","secondary","rural","gov"
371,1,0,0,0,39,"30-44","higher","city","opp"
372,0,1,0,1,38,"30-44","secondary","city","opp"
373,0,1,0,0,82,"60+","basic","rural","opp"
374,0,1,0,0,58,"45-59","secondary","rural","none"
375,1,0,1,1,43,"30-44","secondary","city","none"
376,0,1,0,1,50,"45-59","secondary","town","opp"
377,1,0,0,1,26,"18-29","secondary","rural","opp"
378,1,0,0,1,55,"45-59","secondary","rural","none"
379,0,1,1,0,27,"18-29","secondary","town","gov"
380,0,1,0,0,33,"30-44","secondary","rural","opp"
381,0,1,0,1,39,"30-44","secondary","city","none"
382,0,1,0,0,57,"45-59","higher","town","gov"
383,1,0,0,0,28,"18-29","secondary","rural","opp"
384,0,1,0,0,62,"60+","secondary","rural","opp"
385,0,1,0,0,69,"60+","higher","rural","opp"
386,1,0,0,0,56,"45-59","higher","rural","opp"
387,0,1,0,1,43,"30-44","secondary","city","none"
388,0,1,0,1,56,"45-59","higher","rural","gov"
389,0,1,0,0,39,"30-44","secondary","rural","gov"
390,1,0,0,1,37,"30-44","secondary","rural","gov"
391,1,0,0,1,41,"30-44","secondary","rural","opp"
392,1,0,1,0,52,"45-59","higher","town","opp"
393,1,0,0,1,58,"45-59","secondary","town","none"
394,1,0,0,1,61,"60+","secondary","rural","opp"
395,0,1,0,0,72,"60+","secondary","town","opp"
396,0,1,0,1,58,"45-59","secondary","town","gov"
397,1,0,0,1,61,"60+","secondary","city","none"
398,1,0,0,1,52,"45-59","basic","city","opp"
399,1,0,0,0,65,"60+","secondary","town","gov"
400,0,1,0,1,26,"18-29","secondary","town","gov"
401,0,1,0,0,53,"45-59","secondary","town","none"
402,1,0,1,0,59,"45-59","secondary","rural","opp"
403,1,0,0,0,49,"45-59","secondary","town","gov"
404,0,1,0,1,53,"45-59","higher","rural","opp"
405,1,0,0,1,76,"60+","basic","rural","none"
406,0,1,0,1,35,"30-44","higher","rural","none"
407,1,0,0,0,33,"30-44","secondary","rural","none"
408,0,1,0,0,75,"60+","basic","city","none"
409,0,1,0,1,58,"45-59","higher","town","gov"
410,1,0,0,0,32,"30-44","higher","rural","gov"
411,0,1,0,1,72,"60+","secondary","town","gov"
412,1,0,0,1,36,"30-44","secondary","rural","gov"
413,0,1,0,0,52,"45-59","higher","city","gov"
414,1,0,0,0,58,"45-59","higher","town","none"
415,0,1,0,1,31,"30-44","higher","rural","gov"
416,1,0,1,1,23,"18-29","secondary","town","gov"
417,1,0,0,1,75,"60+","secondary","city","gov"
418,1,0,0,0,35,"30-44","secondary","rural","none"
419,1,0,0,1,55,"45-59","secondary","rural","gov"
420,1,0,0,1,66,"60+","secondary","rural","none"
421,0,1,0,0,50,"45-59","secondary","town","opp"
422,1,0,0,0,23,"18-29","higher","rural","opp"
423,0,1,0,1,38,"30-44","higher","rural","none"
424,0,1,0,0,56,"45-59","secondary","town","none"
425,1,0,0,0,70,"60+","secondary","town","gov"
426,1,0,0,1,44,"30-44","higher","rural","none"
427,0,1,0,0,56,"45-59","secondary","town","gov"
428,0,1,0,1,70,"60+","secondary","rural","gov"
429,1,0,0,1,60,"60+","higher","city","none"
430,1,0,0,0,76,"60+","secondary","rural","gov"
431,0,1,1,1,34,"30-44","secondary","rural","gov"
432,0,1,0,0,55,"45-59","secondary","rural","opp"
433,1,0,0,1,45,"45-59","secondary","town","none"
434,0,1,0,0,45,"45-59","higher","rural","opp"
435,1,0,0,1,50,"45-59","secondary","city","none"
436,0,1,0,1,45,"45-59","higher","city","gov"
437,1,0,0,0,58,"45-59","higher","town","none"
438,0,1,0,1,59,"45-59","secondary","rural","opp"
439,0,1,1,1,64,"60+","secondary","rural","gov"
440,0,1,0,0,31,"30-44","secondary","rural","none"
441,0,1,0,0,34,"30-44","secondary","rural","gov"
442,0,1,0,1,31,"30-44","secondary","rural","opp"
443,0,1,0,0,59,"45-59","basic","rural","none"
444,1,0,0,0,51,"45-59","secondary","rural","none"
445,0,1,0,1,43,"30-44","secondary","rural","none"
446,0,1,1,1,63,"60+","higher","city","gov"
447,0,1,0,1,27,"18-29","higher","town","gov"
448,0,1,0,0,62,"60+","higher","city","opp"
449,1,0,0,1,52,"45-59","basic","rural","opp"
450,1,0,1,1,43,"30-44","secondary","town","gov"
451,0,1,0,1,40,"30-44","higher","city","opp"
452,0,1,0,1,53,"45-59","secondary","city","gov"
453,0,1,1,1,65,"60+","higher","town","none"
454,0,1,0,0,51,"45-59","secondary","town","none"
455,1,0,0,1,35,"30-44","secondary","town","opp"
456,1,0,0,1,64,"60+","higher","city","none"
457,1,0,1,1,60,"60+","basic","city","none"
458,1,0,0,0,74,"60+","higher","rural","none"
459,1,0,1,0,46,"45-59","secondary","city","gov"
460,0,1,0,1,50,"45-59","secondary","town","opp"
461,1,0,0,1,42,"30-44","secondary","rural","gov"
462,0,1,0,1,63,"60+","basic","town","none"
463,0,1,0,1,66,"60+","secondary","town","gov"
464,1,0,0,0,36,"30-44","secondary","town","none"
465,0,1,0,0,69,"60+","secondary","town","opp"
466,1,0,0,1,45,"45-59","higher","city","none"
467,0,1,0,1,63,"60+","secondary","rural","none"
468,0,1,0,0,49,"45-59","higher","rural","gov"
469,0,1,0,1,41,"30-44","secondary","city","none"
470,0,1,0,0,49,"45-59","secondary","rural","opp"
471,0,1,0,0,55,"45-59","secondary","city","gov"
472,1,0,1,1,55,"45-59","secondary","town","gov"
473,0,1,0,1,37,"30-44","higher","rural","none"
474,0,1,1,1,54,"45-59","secondary","town","gov"
475,0,1,0,1,47,"45-59","secondary","rural","gov"
476,1,0,0,1,69,"60+","secondary","city","none"
477,0,1,0,1,47,"45-59","secondary","town","gov"
478,0,1,0,0,37,"30-44","basic","rural","gov"
479,1,0,0,1,54,"45-59","secondary","rural","gov"
480,0,1,0,0,49,"45-59","basic","rural","opp"
481,0,1,0,1,58,"45-59","basic","town","gov"
482,0,1,0,1,66,"60+","secondary","town","gov"
483,1,0,0,0,40,"30-44","secondary","town","opp"
484,1,0,0,1,50,"45-59","higher","town","none"
485,1,0,1,0,66,"60+","basic","town","opp"
486,0,1,0,1,29,"18-29","higher","rural","none"
487,1,0,0,1,72,"60+","secondary","rural","none"
488,0,1,0,0,80,"60+","basic","rural","opp"
489,0,1,0,0,64,"60+","basic","rural","none"
490,1,0,0,1,31,"30-44","higher","town","none"
491,0,1,1,1,44,"30-44","higher","city","opp"
492,0,1,0,1,68,"60+","secondary","rural","gov"
493,0,1,0,0,65,"60+","secondary","rural","opp"
494,0,1,0,1,61,"60+","secondary","town","none"
495,0,1,0,0,35,"30-44","secondary","city","opp"
496,0,1,0,1,50,"45-59","basic","town","none"
497,0,1,0,1,73,"60+","secondary","rural","gov"
498,0,1,0,1,54,"45-59","secondary","rural","gov"
499,1,0,0,0,58,"45-59","secondary","town","opp"
500,1,0,1,0,43,"30-44","basic","town","gov"
501,0,1,0,1,46,"45-59","higher","town","gov"
502,0,1,0,0,23,"18-29","higher","town","gov"
503,0,1,0,1,23,"18-29","secondary","rural","opp"
504,1,0,0,0,29,"18-29","secondary","rural","gov"
505,1,0,0,0,44,"30-44","secondary","town","none"
506,1,0,0,1,52,"45-59","secondary","city","opp"
507,0,1,0,1,52,"45-59","secondary","town","opp"
508,1,0,1,1,21,"18-29","secondary","town","none"
509,0,1,0,1,79,"60+","higher","town","none"
510,1,0,0,1,36,"30-44","secondary","city","gov"
511,0,1,0,1,29,"18-29","secondary","rural","opp"
512,0,1,0,1,30,"30-44","higher","town","opp"
513,1,0,1,1,57,"45-59","secondary","rural","gov"
514,1,0,0,0,60,"60+","higher","rural","opp"
515,1,0,0,1,64,"60+","higher","rural","opp"
516,1,0,0,0,60,"60+","higher","rural","gov"
517,1,0,0,1,74,"60+","secondary","town","gov"
518,1,0,0,0,57,"45-59","basic","rural","gov"
519,1,0,0,1,34,"30-44","basic","rural","none"
520,1,0,0,1,46,"45-59","secondary","rural","none"
521,0,1,0,0,26,"18-29","higher","rural","opp"
522,0,1,0,1,67,"60+","secondary","rural","opp"
523,0,1,0,0,58,"45-59","secondary","rural","none"
524,0,1,0,1,68,"60+","secondary","town","opp"
525,1,0,0,1,52,"45-59","higher","town","opp"
526,1,0,1,1,65,"60+","basic","rural","opp"
527,1,0,0,1,44,"30-44","secondary","city","none"
528,0,1,0,0,31,"30-44","higher","rural","gov"
529,1,0,0,1,42,"30-44","secondary","rural","opp"
